,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
171,"Always Remember Us This Way","Lady Gaga",194481,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
172,"Say You Won't Let Go","James Arthur",194444,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
173,"Af En Toe","Lil Kleine",194176,https://open.spotify.com/track/6TJg6Cl2sBbD4sOviiteVX
174,"So Am I","Ava Max",193904,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
175,Zegen,Jairzinho,193173,https://open.spotify.com/track/2MM9UEYs0vz3iRSZJkfWPp
176,"Zoutelande (feat. Geike)",BLØF,192037,https://open.spotify.com/track/7MOX3ibncypw3xGb4HZVFA
177,Achtbaan,Frenna,191520,https://open.spotify.com/track/5AJq1BQcLQJ8iHCHluxEFO
178,"Gitaren Body",Architrackz,190987,https://open.spotify.com/track/5ghr7gRNa6p7LONBPkK70o
179,"The London (feat. J. Cole & Travis Scott)","Young Thug",190808,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
180,VERDIEND,Chivv,190234,https://open.spotify.com/track/0NVycXLIVoCBxQJ0Lpbbz1
181,Oceaan,Racoon,189833,https://open.spotify.com/track/4AUASx1KCTQFmpHu7qq6Kr
182,"Baby Momma","Yung Felix",189344,https://open.spotify.com/track/7CwcxScnNX2jGWntjz9p2K
183,Rook,"Lil Kleine",188882,https://open.spotify.com/track/17L2sYqS71YBsocuCT5Bem
184,Leef,"André Hazes Jr.",188084,https://open.spotify.com/track/1MZkpg4JmhAWCvysue8VDd
185,"Con Calma","Daddy Yankee",186968,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
186,Libie,"Henkie T",184173,https://open.spotify.com/track/0qM5XYkTZeOSrWJzgsz2Nr
187,Lamborghini,Ashafar,184047,https://open.spotify.com/track/44fqzUIKdfrLMY9MZxEs5R
188,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",182850,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
189,"Last Man Standing","Yung Felix",180378,https://open.spotify.com/track/7JqF4AHCyokdICrFYF91zE
190,"Het Spijt Me Niet",Tabitha,177712,https://open.spotify.com/track/51kLUZLVzbkQocf8TdWMtf
191,"Something Real","Armin van Buuren",176734,https://open.spotify.com/track/2s925fwHTn9zFAWBPxZept
192,"Behind Barz - Bonus",Drake,176320,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
193,Heaven,Avicii,176281,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
194,"Kleine Jongen","Andre Hazes",175820,https://open.spotify.com/track/6vzj8d0yOzg3ELH2T4u0CC
195,"Wine On Top",Chivv,175762,https://open.spotify.com/track/7uZac6dWgEZYiHolU9dgZG
196,"223's (feat. 9lokknine)","YNW Melly",175477,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
197,"Lief Zoals Je Bent",Maan,173898,https://open.spotify.com/track/6APqkt7c1dxMb69edPmHUA
198,"Power Over Me","Dermot Kennedy",171028,https://open.spotify.com/track/4tViDtaHuSLnh7HVJTrKhs
199,"Giant (with Rag'n'Bone Man)","Calvin Harris",170916,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
200,Waggie,"Zack Ink",170498,https://open.spotify.com/track/3mY3F5xEx4u034j8sWEWrx
