,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
160,"If the World Was Ending - feat. Julia Michaels","JP Saxe",5293200,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
161,"Santa Claus Is Coming to Town","Michael Bublé",5227718,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
162,"Turn Me On (feat. Vula)",Riton,5226386,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
163,I.F.L.Y.,Bazzi,5226004,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
164,"Who Needs Love","Trippie Redd",5223668,https://open.spotify.com/track/2ktxr00GpTtbMNeBjNeY8D
165,"Into the Unknown - Panic! At The Disco Version","Panic! At The Disco",5198066,https://open.spotify.com/track/421eObjg0DTm2qajJl5OJm
166,"Be Alright","Dean Lewis",5187489,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
167,"Pa' Olvidarme De Ella","Piso 21",5183962,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
168,"Better Now","Post Malone",5169914,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
169,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",5165590,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
170,SAD!,XXXTENTACION,5147594,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
171,"Con Calma","Daddy Yankee",5120664,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
172,"High Hopes","Panic! At The Disco",5119447,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
173,Youngblood,"5 Seconds of Summer",5117080,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
174,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",5095967,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
175,"Post Malone (feat. RANI)","Sam Feldt",5079797,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
176,"Can We Kiss Forever?",Kina,5030448,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
177,Lover,"Taylor Swift",5019740,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
178,"You Need To Calm Down","Taylor Swift",5001329,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
179,"MIDDLE CHILD","J. Cole",4988472,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
180,"Hasta Que Salga el Sol",Ozuna,4968395,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl
181,"Christmas (Baby Please Come Home)","Mariah Carey",4958776,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
182,"Let Me Down Slowly","Alec Benjamin",4943717,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
183,Moonlight,XXXTENTACION,4937140,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
184,Death,"Trippie Redd",4933254,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
185,"all the good girls go to hell","Billie Eilish",4926395,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
186,"Enemies (feat. DaBaby)","Post Malone",4923299,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
187,Trigger,"Major Lazer",4890061,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
188,"I Like Me Better",Lauv,4887599,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
189,"Qué Pena",Maluma,4832509,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
190,Suge,DaBaby,4817888,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
191,Saint-Tropez,"Post Malone",4796769,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
192,"Blue Christmas","Elvis Presley",4786067,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
193,"All of Me","John Legend",4770253,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
194,"Living Proof","Camila Cabello",4755572,https://open.spotify.com/track/1jg9clsGCDqOumfS0X5xm9
195,"boyfriend (with Social House)","Ariana Grande",4754501,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
196,"Calma - Remix","Pedro Capó",4739203,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
197,"Jocelyn Flores",XXXTENTACION,4734168,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
198,"i'm so tired...",Lauv,4707951,https://open.spotify.com/track/2iwS33Jfev1QBiuhWVWZHY
199,"3 Nights","Dominic Fike",4692639,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
200,"Hollywood's Bleeding","Post Malone",4689780,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
