,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
180,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,36963,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
181,Jupiter,"Ayaka Hirahara",36643,https://open.spotify.com/track/5IwRgi599tbwNi9wqPYyIX
182,プラネタリウム,"Ai Otsuka",36590,https://open.spotify.com/track/3zfyzbHuqcT2AAffAyLm02
183,"Go Go",BTS,36197,https://open.spotify.com/track/5nq1uTNIR1cBR72T87viS0
184,"Tomorrow never knows",Mr.Children,36133,https://open.spotify.com/track/42JrgapwGBuPHG9YKjR6dj
185,"The Nights",Avicii,36037,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
186,"Shake It Off","Taylor Swift",35831,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD
187,"I Like Me Better",Lauv,35814,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
188,Perfect,"Ed Sheeran",35706,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
189,Automatic,"Hikaru Utada",35649,https://open.spotify.com/track/3PDuPLArSTzKH2W2hKYjh0
190,"Serendipity (Full Length Edition)",BTS,35641,https://open.spotify.com/track/5cQB9fbuQCz4muQUFkv3rR
191,"See You Again (feat. Charlie Puth)","Wiz Khalifa",35499,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc
192,"Galway Girl","Ed Sheeran",35412,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
193,生きていたんだよな,Aimyon,35380,https://open.spotify.com/track/69jrtjVjyzRyPCDg0dHYCX
194,みんな空の下,ayaka,35155,https://open.spotify.com/track/5jc5WQlrri3B5MkLByPsuv
195,"Love Yourself","Justin Bieber",35113,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0
196,"Side Effects (feat. Emily Warren)","The Chainsmokers",35084,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
197,"Lucid Dreams","Juice WRLD",35059,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
198,"Prayer X","King Gnu",34999,https://open.spotify.com/track/06QK83uzJlapS23m70wqJz
199,ギフト,ET-KING,34924,https://open.spotify.com/track/58oZnEFcAVvxszG4TJs513
200,Darkside,"Alan Walker",34634,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
