r,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
187,Bohemian Rhapsody - Remastered 2011,Queen,410364,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
188,Sixteen,Ellie Goulding,403304,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
189,Calma - Remix,Pedro Capó,403234,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
190,Nummer unterdrückt,Bonez MC,402017,https://open.spotify.com/track/2SRVj6ceeIffVEm9NFyRHI
191,Outta My Head (with John Mayer),Khalid,399281,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
192,xanny,Billie Eilish,398586,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
193,my strange addiction,Billie Eilish,397891,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
194,Make It Right,BTS,396809,https://open.spotify.com/track/6KUE0HSSudAp9AOycaF6SH
195,Let You Love Me,Rita Ora,396560,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
196,Solo (feat. Demi Lovato),Clean Bandit,395552,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
197,In the End,Linkin Park,394323,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
198,Better,Khalid,391612,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
199,Feuer,Capital Bra,391544,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV
200,FOYAA!,Kollegah,388249,https://open.spotify.com/track/2NPxtQwkQzswlMUuCe7eKO
